ObjectId,Date,Value
5131,D02/24/1999,-0.86
5154,D03/06/1999,-4.16
5182,D03/16/1999,-3.26
5211,D03/26/1999,-30.26
5239,D04/05/1999,-22.96
5253,D04/14/1999,-7.76
5278,D05/04/1999,-12.76
5303,D05/14/1999,-18.36
5328,D05/24/1999,-30.76
5356,D06/03/1999,-18.76
5380,D06/13/1999,-14.66
5406,D06/23/1999,-16.26
5433,D07/03/1999,-15.96
5459,D07/13/1999,-12.66
5485,D07/23/1999,-12.06
5519,D08/02/1999,-4.66
5545,D08/12/1999,-8.36
5553,D08/21/1999,0.24
5578,D09/10/1999,3.44
5604,D09/20/1999,10.84
5628,D09/30/1999,16.14
5654,D10/10/1999,7.74
5682,D10/20/1999,11.34
5708,D10/30/1999,10.64
5737,D11/09/1999,11.14
5764,D11/19/1999,16.14
5780,D11/28/1999,12.84
5803,D12/18/1999,9.54
5828,D12/28/1999,2.94
5853,D01/07/2000,11.34
5879,D01/17/2000,18.14
5905,D01/27/2000,7.74
5931,D02/06/2000,-0.86
5957,D02/16/2000,1.44
5985,D02/26/2000,-7.96
6010,D03/07/2000,-12.36
6037,D03/17/2000,-20.26
6063,D03/27/2000,-14.86
6093,D04/16/2000,-5.86
6103,D04/25/2000,-5.56
6128,D05/05/2000,-13.06
6153,D05/15/2000,-8.76
6178,D05/25/2000,-8.96
6204,D06/04/2000,-9.86
6228,D06/14/2000,-12.96
6255,D06/24/2000,-24.76
6280,D07/04/2000,-20.66
6305,D07/14/2000,-11.16
6333,D08/03/2000,-6.66
6361,D08/13/2000,-9.86
6386,D08/23/2000,-6.66
6412,D09/02/2000,-3.36
6444,D09/12/2000,10.54
6453,D09/21/2000,12.04
6478,D10/01/2000,8.44
6503,D10/11/2000,-1.86
6528,D10/21/2000,21.44
6553,D11/10/2000,18.24
6581,D11/20/2000,16.04
6603,D11/30/2000,11.44
6630,D12/10/2000,5.14
6657,D12/20/2000,3.94
6683,D12/30/2000,9.34
6709,D01/09/2001,6.94
6742,D01/29/2001,6.74
6769,D02/08/2001,3.34
6779,D02/17/2001,8.14
6803,D02/27/2001,3.54
6830,D03/09/2001,1.94
6853,D03/19/2001,-4.56
6878,D03/29/2001,-13.26
6905,D04/08/2001,-13.76
6933,D04/18/2001,-10.36
6958,D04/28/2001,-12.36
6984,D05/08/2001,-5.96
7019,D05/18/2001,-12.76
7028,D05/27/2001,-16.86
7053,D06/06/2001,-18.66
7078,D06/16/2001,-17.36
7104,D06/26/2001,-9.06
7128,D07/06/2001,-2.76
7153,D07/16/2001,-4.06
7179,D07/26/2001,-2.36
7206,D08/05/2001,-2.46
7235,D08/15/2001,-10.26
7262,D08/25/2001,2.44
7293,D09/04/2001,9.44
7303,D09/13/2001,15.24
7328,D09/23/2001,17.04
7353,D10/03/2001,19.54
7378,D10/13/2001,23.34
7403,D10/23/2001,31.54
7429,D11/02/2001,39.14
7456,D11/12/2001,31.94
7479,D11/22/2001,16.84
7511,D12/02/2001,8.24
7530,D12/16/2001,11.94
7568,D12/22/2001,18.84
7592,D01/01/2002,21.94
7603,D01/10/2002,7.34
7627,D01/20/2002,-0.62
7650,D01/20/2002,0.34
7678,D01/30/2002,18.18
7696,D01/30/2002,13.54
7728,D02/09/2002,18.68
7751,D02/09/2002,14.54
7781,D02/19/2002,12.98
7802,D02/19/2002,11.84
7833,D03/01/2002,17.28
7854,D03/01/2002,21.94
7888,D03/11/2002,-0.82
7906,D03/11/2002,2.54
7942,D03/21/2002,-11.52
7957,D03/21/2002,-7.06
7997,D03/31/2002,-22.42
8008,D03/31/2002,-21.96
8051,D04/10/2002,-10.02
8065,D04/10/2002,-12.16
8101,D04/20/2002,-10.62
8108,D04/20/2002,-12.26
8127,D04/29/2002,-0.02
8148,D04/29/2002,0.84
8176,D05/09/2002,-9.22
8199,D05/09/2002,-12.36
8226,D05/19/2002,-6.82
8250,D05/19/2002,-6.76
8277,D05/29/2002,-5.72
8301,D05/29/2002,-5.06
8330,D06/08/2002,-11.52
8353,D06/08/2002,-9.86
8380,D06/18/2002,-15.72
8403,D06/18/2002,-12.36
8431,D06/28/2002,-34.52
8453,D06/28/2002,-31.66
8482,D07/08/2002,-20.42
8522,D07/18/2002,-6.02
